year,team,seed,adj_em,adj_o,adj_d,tempo,sos,barthag,wab,elite_sos,ncsos,conf_winpct
2010,Vermont,16,2.24,103.52,101.28,61.0,0.365,0.562555,-4.88,0.8957,0.4171,0.75
2010,Villanova,2,20.87,117.47,96.6,25.0,0.7017,0.904588,5.49,0.6732,0.5146,0.7222
2010,Wake Forest,9,13.95,107.58,93.63,23.0,0.71,0.831582,1.05,0.6715,0.5102,0.5625
2010,Washington,11,19.28,113.02,93.74,183.0,0.6882,0.895802,1.2,0.7377,0.5602,0.6111
2010,West Virginia,2,24.41,117.26,92.84,12.0,0.7646,0.936114,8.02,0.6339,0.6282,0.7222
2010,Wisconsin,4,24.01,116.07,92.06,247.0,0.701,0.934956,3.83,0.689,0.5713,0.7222
2010,Wofford,13,9.74,104.76,95.02,100.0,0.4761,0.754492,-1.7,0.8406,0.5705,0.8333
2010,Xavier,6,20.78,116.62,95.84,96.0,0.6755,0.905213,2.89,0.7036,0.6539,0.875
2011,Akron,15,3.74,102.91,99.17,104.0,0.4841,0.604867,-5.49,0.8562,0.5203,0.5625
2011,Arizona,5,20.69,118.69,98.01,35.0,0.6813,0.900446,4.62,0.7166,0.5216,0.7778
2011,BYU,3,21.95,117.19,95.23,19.0,0.6663,0.915716,7.24,0.7385,0.6055,0.875
2011,Belmont,13,16.76,111.63,94.87,159.0,0.3897,0.866501,1.12,0.8813,0.4667,0.95
2011,Boston University,16,-0.93,103.05,103.98,90.0,0.4172,0.474135,-7.41,0.8661,0.5275,0.75
2011,Bucknell,14,6.22,104.28,98.06,64.0,0.4246,0.66984,-2.11,0.861,0.5115,0.9286
2011,Butler,8,16.23,112.2,95.97,87.0,0.6352,0.857831,-0.38,0.7513,0.6357,0.7222
2011,Cincinnati,6,18.79,111.44,92.64,107.0,0.628,0.893228,3.22,0.7261,0.3416,0.6111
2011,Clemson,12,18.65,110.45,91.8,294.0,0.6645,0.893537,0.51,0.7212,0.49,0.5625
2011,Connecticut,3,22.17,115.78,93.62,12.0,0.7394,0.920102,6.77,0.625,0.529,0.5
2011,Duke,1,29.12,120.59,91.47,120.0,0.7116,0.960021,9.29,0.7035,0.6155,0.8125
2011,Florida,2,21.03,116.42,95.4,48.0,0.6844,0.908095,5.23,0.7093,0.5501,0.8125
2011,Florida State,10,21.03,116.42,95.4,48.0,0.6844,0.908095,5.23,0.7093,0.5501,0.8125
2011,George Mason,8,15.43,112.54,97.11,85.0,0.5489,0.845022,1.19,0.8193,0.5277,0.8889
2011,Georgetown,6,16.19,113.23,97.03,20.0,0.755,0.855065,4.24,0.646,0.6315,0.5556
2011,Georgia,10,14.89,110.0,95.11,193.0,0.6399,0.841902,0.14,0.7295,0.5128,0.5625
2011,Gonzaga,11,17.3,111.72,94.42,233.0,0.5997,0.873836,0.36,0.7697,0.6159,0.7857
2011,Hampton,16,-5.04,94.22,99.26,9.0,0.2812,0.354634,-5.43,0.9271,0.3661,0.6667
2011,Illinois,9,22.34,114.88,92.54,328.0,0.751,0.923183,1.35,0.6351,0.5859,0.5
2011,Indiana State,14,8.6,109.65,101.05,325.0,0.6758,0.718989,-6.35,0.6592,0.3981,0.1667
2011,Kansas,1,29.91,120.87,90.96,65.0,0.6877,0.963349,10.22,0.7279,0.5444,0.875
2011,Kansas State,5,19.46,112.58,93.12,206.0,0.6816,0.898691,1.98,0.6858,0.5327,0.625
2011,Kentucky,4,25.94,119.31,93.37,161.0,0.712,0.94373,5.17,0.6625,0.6057,0.625
2011,Long Island,15,3.6,107.91,104.31,6.0,0.3696,0.596437,0.0,0.9053,0.3892,0.8889
2011,Louisville,4,21.2,111.8,90.6,205.0,0.681,0.918162,4.56,0.6966,0.4525,0.6667
