rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Louisville,Amer,31-6,119.36526339591013,10,88.2206864839768,2,0.9700258592654306,1,31,6,15,3,15-3,0.6012254631740442,0.4509361191518144,0.6634280728564144,0.6012254631740442,0.4509361191518144,0.6634280728564144,0.7735072633875523,0.8650860300490074,107.55648128860153,102.51444573975195,107.55648128860153,102.51444573975195,118.81991263029988,88.44255350714106,127.17520274908924,98.32170919979582,0.9506960223805622,12,-0.06806273964400511,1435.0,1121.0,1237.275,1.1598068335656988,0.9060233173708351,0,0.8333333333333334,5.384988916238213,15,303,66.80435118146156
2,Arizona,P12,33-5,116.73227727284672,19,88.06505187881113,1,0.9623405382265747,2,33,5,15,3,15-3,0.7060218073854829,0.5746069629941759,0.7568158583379779,0.7060218073854829,0.5746069629941759,0.7568158583379779,0.7008925875455375,0.7828753023627409,110.45206003033228,100.41130509517664,110.45206003033228,100.41130509517664,113.07613673684149,86.5871012965662,120.19715271846893,91.08768242690083,0.9604210208615435,16,0.023237309546030094,1287.0,1083.0,1189.775,1.0817171313903888,0.9102561408669706,0,0.8333333333333334,9.476380850523121,2,129,62.3441047552342
3,Florida,SEC,36-3,116.4005411360991,20,89.06091534005914,3,0.9560072637401378,3,36,3,18,0,18-0,0.7107090384650342,0.5911346251702927,0.7426006240205222,0.7107090384650342,0.5911346251702927,0.7426006240205222,0.6930944773632883,0.7631113076894014,110.31231206646007,99.87507267840304,110.31231206646007,99.87507267840304,118.58832209378994,89.62439454213285,122.01728427552803,90.20594005583824,0.969932319673771,15,0.10255515254148517,1284.0,1048.0,1129.3375,1.1369497603683574,0.9279776860327403,0,1.0,11.769675718997709,1,16,61.085421720049176
4,Virginia,ACC,30-7,115.15787966169128,26,90.24152068672639,5,0.9428843655774818,4,30,7,16,2,16-2,0.6978155850169808,0.5626723013461254,0.7578316156759812,0.6978155850169808,0.5626723013461254,0.7578316156759812,0.6928291323810238,0.7804063022448413,110.32415793842961,100.35662681039004,110.32415793842961,100.35662681039004,117.80883191418943,87.39616334736982,125.55771276377114,98.66548780743065,0.9411354718944307,17,0.026722124824386295,1213.0,981.0,1078.2,1.1250231867928027,0.9098497495826376,0,0.8888888888888888,8.233178153941287,4,120,59.245590099920975
5,Wisconsin,B10,30-8,123.20305245850162,4,96.65453099696738,38,0.9421844632898732,5,30,8,12,6,12-6,0.7486386510143134,0.5998522720689856,0.8130281818469889,0.7486386510143134,0.5998522720689856,0.8130281818469889,0.6544722198140793,0.7614924581819756,111.0128363699087,98.77051098406055,111.0128363699087,98.77051098406055,122.53512233790343,98.32335673142678,133.7759510023783,105.73362479182978,0.9373386325046879,19,0.03445472922198589,1293.0,1203.0,1147.0875,1.12720258916604,1.0487430121939258,0,0.6666666666666666,7.959108422892896,6,92,61.9618900574747
6,Duke,ACC,26-9,126.41612770443608,1,99.35403912781226,71,0.9410456695998268,6,26,9,13,5,13-5,0.7164471198679444,0.6022188115869919,0.7773815219922242,0.7164471198679444,0.6022188115869919,0.7773815219922242,0.6941556312853829,0.7659838906397682,110.52407427315035,99.88557389770432,110.52407427315035,99.88557389770432,126.8921262581061,97.72201488390522,143.9040875893675,111.22840963202762,0.9508254205655767,13,-0.03895150417836957,1365.0,1185.0,1147.3249999999998,1.189723923038372,1.0328372518684767,0,0.7222222222222222,6.514888102569944,12,258,64.7280174351437
7,Tennessee,SEC,23-13,118.69954273793107,13,94.03079475452327,17,0.9357875192362168,7,23,13,11,7,11-7,0.6911913307031496,0.5673024318140972,0.7306862069122597,0.6911913307031496,0.5673024318140972,0.7306862069122597,0.7080492517170476,0.7781838565216903,109.70362688888558,100.52571034455875,109.70362688888558,100.52571034455875,117.63246216694377,93.22038516998025,119.96558813838719,98.29332186117577,0.908159091334093,11,-0.13968091010745787,1249.0,1098.0,1128.3625000000002,1.106913779924448,0.9730915375156475,0,0.6111111111111112,0.40875110806867687,55,346,61.107589161564924
8,Michigan St.,B10,29-9,120.11481080265173,6,95.95319617144332,32,0.9297435291803138,8,29,9,12,6,12-6,0.7273842327748159,0.5497527319667348,0.8148127382952491,0.7273842327748159,0.5497527319667348,0.8148127382952491,0.665859878167838,0.8018698881838506,110.98819498060209,99.69700284865763,110.98819498060209,99.69700284865763,119.46488496817352,96.43332936875551,130.12165398450895,101.02167529216662,0.948389942782024,19,0.033731871362496335,1299.0,1192.0,1168.5125,1.1116697510724103,1.0201003412458147,0,0.6666666666666666,6.950097134293434,10,96,64.25482063209178
9,Wichita St.,MVC,34-1,117.00837570271202,18,93.58641705963728,13,0.9288160294911967,9,34,1,18,0,18-0,0.5560767306143475,0.6056719604226591,0.5141310115511671,0.5560767306143475,0.6056719604226591,0.5141310115511671,0.8340558222457516,0.7859455975206636,106.60852677429945,104.01018764568903,106.60852677429945,104.01018764568903,115.17038554800523,92.73787554377319,143.89585766914212,114.83687499201332,0.9304833324654049,3,0.09786620980187966,1330.0,1050.0,1151.3500000000001,1.1551656750770833,0.9119729013766447,0,1.0,8.23286119929523,5,19,63.14260945553889
10,Michigan,B10,28-9,125.52091710628682,3,100.62687515533676,89,0.927041666522709,10,28,9,15,3,15-3,0.7290248274674443,0.5290226831834827,0.8260568381190582,0.7290248274674443,0.5290226831834827,0.8260568381190582,0.6358422791809002,0.749051662772875,110.7019076565003,99.08729485165136,110.7019076565003,99.08729485165136,125.61461374981337,100.08369078683234,132.68172195407456,107.12535568362338,0.9213233897158218,21,0.06251559324472611,1315.0,1194.0,1122.1499999999999,1.1718575947957048,1.0640288731453016,0,0.8333333333333334,7.742944417126875,8,52,60.577937460444375
11,Kansas,B12,25-10,119.6569334562549,8,96.28446464573503,35,0.9240857486652578,11,25,10,14,4,14-4,0.7675600417209552,0.7218838603128608,0.7914207198934889,0.7675600417209552,0.7218838603128608,0.7914207198934889,0.6523231051948643,0.6857726462497633,112.96791523604243,99.85965504433003,112.96791523604243,99.85965504433003,123.58671292010662,96.14269568538091,128.30000339171184,105.96435061603246,0.9002125625340582,20,0.008564136781791798,1457.0,1274.0,1240.2749999999999,1.1747394731007237,1.027191550261031,0,0.7777777777777778,6.92130498427812,11,154,66.1743552073292
12,Villanova,BE,29-5,115.6784905814526,23,93.11018900714296,11,0.9238509072884881,12,29,5,16,2,16-2,0.6830689696215066,0.5783515368388833,0.7530776251470745,0.6830689696215066,0.5783515368388833,0.7530776251470745,0.7248062570970317,0.7685204076046326,110.95772841631468,102.1989193669485,110.95772841631468,102.1989193669485,118.92580873544888,94.35302391532502,123.02152831827875,104.04518623328163,0.8728772641503467,12,0.08335294624363987,1390.0,1211.0,1208.3875,1.1502932627158093,1.0021619720495287,0,0.8888888888888888,8.36349729220698,3,30,65.56440822786928
13,Pittsburgh,ACC,26-10,117.68306770928046,17,94.73175389198741,20,0.923781948967306,13,26,10,11,7,11-7,0.68688126898224,0.48387989514754487,0.7911908963953962,0.68688126898224,0.48387989514754487,0.7911908963953962,0.7150365652261598,0.8751656453769245,108.94051810197028,99.97143285748282,108.94051810197028,99.97143285748282,116.95313612182096,97.19554384874863,118.45745203204397,97.86307389938148,0.8999187627549949,14,-0.038495055212748874,1252.0,1177.0,1140.4499999999998,1.0978122670875534,1.0320487526853437,0,0.6111111111111112,4.170112551067758,22,256,61.80977732587344
14,Connecticut,Amer,32-8,113.0458164958667,49,91.99890252830043,9,0.9144475332062122,14,32,8,12,6,12-6,0.6910579066582547,0.572573463120523,0.6698188596247241,0.6910579066582547,0.572573463120523,0.6698188596247241,0.6884524542592141,0.8122762401429019,110.13027150144362,100.27589086816279,110.13027150144362,100.27589086816279,110.00083894741881,92.46461797778767,122.69487550212995,99.60604020930334,0.9166360437697427,20,0.08510998977382922,1273.0,1142.0,1192.375,1.0676171506447216,0.9577523849460111,0,0.6666666666666666,4.799949322746095,17,29,62.793426495221595
15,UCLA,P12,28-9,119.55332191315682,9,97.33011516143986,46,0.9141208220984984,15,28,9,12,6,12-6,0.6770430544937225,0.4920673713347886,0.7511992674783703,0.6770430544937225,0.4920673713347886,0.7511992674783703,0.7294843412769763,0.8585064913458886,109.79301015495079,101.32424883476776,109.79301015495079,101.32424883476776,116.82942318723839,97.92026506858662,120.46580947742233,97.21031955919408,0.9217687105302663,13,0.002281628290432325,1429.0,1304.0,1278.9125,1.1173555657638814,1.019616275546607,0,0.6666666666666666,4.574512178674029,18,174,68.21622564988552
16,Syracuse,ACC,28-6,114.73674183683994,31,93.52949937719865,12,0.9129484758751437,16,28,6,14,4,14-4,0.6888202718714841,0.5485508143458224,0.7831694073233604,0.6888202718714841,0.5485508143458224,0.7831694073233604,0.7145855429945732,0.8106824173254897,110.53614014869305,101.4705859274585,110.53614014869305,101.4705859274585,114.66784630228614,92.90714852961611,136.54806832787617,105.45932002576318,0.9512485885014874,14,0.08563590264832599,1128.0,1045.0,1044.4499999999998,1.0799942553497057,1.0005265929436546,0,0.7777777777777778,7.89649727706719,7,28,59.53621766080803
17,Creighton,BE,27-8,125.6857119188968,2,102.616681186329,126,0.9114940490893247,17,27,8,14,4,14-4,0.6843874681487983,0.5626233832364188,0.7544891738822529,0.6843874681487983,0.5626233832364188,0.7544891738822529,0.7326273007694799,0.795942860669448,109.02598482300868,100.8756725994237,109.02598482300868,100.8756725994237,126.5746879807272,100.44777558017107,131.86924563742025,111.51556521537714,0.8730208923729437,12,0.017559493213971877,1402.0,1241.0,1172.0,1.1962457337883958,1.0588737201365188,0,0.7777777777777778,5.655124366137131,14,139,63.428205359880124
18,Ohio St.,B10,25-10,108.90493577894898,108,89.22387280314811,4,0.9082337538679884,18,25,10,10,8,10-8,0.6948646434192143,0.48935684723782996,0.8162177362495717,0.6948646434192143,0.48935684723782996,0.8162177362495717,0.7143138926224065,0.8862454448320646,110.25514891935102,100.78241754326673,110.25514891935102,100.78241754326673,109.02912251850563,90.32274391098036,106.27771547484406,89.6541440945065,0.876110947958789,13,-0.014369752934313529,1197.0,1130.0,1170.35,1.0227709659503568,0.9655231341051823,0,0.5555555555555556,4.509226218336971,20,208,63.376957422791136
19,Iowa,B10,20-13,121.69434163137217,5,99.94849966202214,77,0.9058394456239585,19,20,13,9,9,9-9,0.6733140250555945,0.4400205722430733,0.8305618137785487,0.6733140250555945,0.4400205722430733,0.8305618137785487,0.6850326320937353,0.8428156906550451,109.24153502203922,100.43711908663224,109.24153502203922,100.43711908663224,122.70520700706672,99.32160416943452,126.30389965397204,103.21876062622935,0.9106146663794853,14,-0.08873358694330735,1409.0,1324.0,1248.5999999999997,1.1284638795450908,1.0603876341502485,0,0.5,1.199624079828237,47,318,68.9121553036672
