year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2018,64,UMBC,16,74,Virginia,1,54
2018,64,Kansas State,9,69,Creighton,8,59
2018,64,Kentucky,5,78,Davidson,12,73
2018,64,Buffalo,13,89,Arizona,4,68
2018,64,Loyola–Chicago,11,64,Miami (FL),6,62
2018,64,Tennessee,3,73,Wright State,14,47
2018,64,Nevada,7,87,Texas,10,83
2018,64,Cincinnati,2,68,Georgia State,15,53
2018,32,Kansas State,9,50,UMBC,16,43
2018,32,Kentucky,5,95,Buffalo,13,75
2018,32,Loyola–Chicago,11,63,Tennessee,3,62
2018,32,Nevada,7,75,Cincinnati,2,73
2018,16,Kansas State,9,61,Kentucky,5,58
2018,16,Loyola–Chicago,11,69,Nevada,7,68
2018,8,Loyola–Chicago,11,78,Kansas State,9,62
2018,64,Xavier,1,102,Texas Southern,16,83
2018,64,Florida State,9,67,Missouri,8,54
2018,64,Ohio State,5,81,South Dakota State,12,73
2018,64,Gonzaga,4,68,UNC Greensboro,13,64
2018,64,Houston,6,67,San Diego State,11,65
2018,64,Michigan,3,61,Montana,14,47
2018,64,Texas A&M,7,73,Providence,10,69
2018,64,North Carolina,2,84,Lipscomb,15,66
2018,32,Florida State,9,75,Xavier,1,70
2018,32,Gonzaga,4,90,Ohio State,5,84
2018,32,Michigan,3,64,Houston,6,63
2018,32,Texas A&M,7,86,North Carolina,2,65
2018,16,Florida State,9,75,Gonzaga,4,60
2018,16,Michigan,3,99,Texas A&M,7,72
2018,8,Michigan,3,58,Florida State,9,54
2018,64,Villanova,1,87,Radford,16,61
2018,64,Alabama,9,86,Virginia Tech,8,83
2018,64,West Virginia,5,85,Murray State,12,68
2018,64,Marshall,13,81,Wichita State,4,75
2018,64,Florida,6,77,St. Bonaventure,11,62
2018,64,Texas Tech,3,70,Stephen F. Austin,14,60
2018,64,Butler,10,79,Arkansas,7,62
2018,64,Purdue,2,74,Cal State Fullerton,15,48
2018,32,Villanova,1,81,Alabama,9,58
2018,32,West Virginia,5,94,Marshall,13,71
2018,32,Texas Tech,3,69,Florida,6,66
2018,32,Purdue,2,76,Butler,10,73
2018,16,Villanova,1,90,West Virginia,5,78
2018,16,Texas Tech,3,78,Purdue,2,65
2018,8,Villanova,1,71,Texas Tech,3,59
2018,64,Kansas#,1,76,Penn,16,60
2018,64,Seton Hall,8,94,NC State,9,83
2018,64,Clemson,5,79,New Mexico State,12,68
2018,64,Auburn,4,62,College of Charleston,13,58
2018,64,Syracuse,11,57,TCU,6,52
2018,64,Michigan State,3,82,Bucknell,14,78
2018,64,Rhode Island,7,83,Oklahoma,10,78
2018,64,Duke,2,89,Iona,15,67
2018,32,Kansas#,1,83,Seton Hall,8,79
2018,32,Clemson,5,84,Auburn,4,53
2018,32,Syracuse,11,55,Michigan State,3,53
2018,32,Duke,2,87,Rhode Island,7,62
2018,16,Kansas#,1,80,Clemson,5,76
2018,16,Duke,2,69,Syracuse,11,65
2018,8,Kansas#,1,85,Duke,2,81
2018,4,Michigan,3,69,Loyola–Chicago,11,57
2018,4,Villanova,1,95,Kansas#,1,79
2018,2,Villanova,1,79,Michigan,3,62
