year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2023,64,Alabama,1,96,Texas A&M–Corpus Christi,16,75
2023,64,Maryland,8,67,West Virginia,9,65
2023,64,San Diego State,5,63,Charleston,12,57
2023,64,Furman,13,68,Virginia,4,67
2023,64,Creighton,6,72,North Carolina State,11,63
2023,64,Baylor,3,74,UC Santa Barbara,14,56
2023,64,Missouri,7,76,Utah State,10,65
2023,64,Princeton,15,59,Arizona,2,55
2023,32,Alabama,1,73,Maryland,8,51
2023,32,San Diego State,5,75,Furman,13,52
2023,32,Creighton,6,85,Baylor,3,76
2023,32,Princeton,15,78,Missouri,7,63
2023,16,San Diego State,5,71,Alabama,1,64
2023,16,Creighton,6,86,Princeton,15,75
2023,8,San Diego State,5,57,Creighton,6,56
2023,64,Fairleigh Dickinson,16,63,Purdue,1,58
2023,64,Florida Atlantic,9,66,Memphis,8,65
2023,64,Duke,5,74,Oral Roberts,12,51
2023,64,Tennessee,4,58,Louisiana,13,55
2023,64,Kentucky,6,61,Providence,11,53
2023,64,Kansas State,3,77,Montana State,14,65
2023,64,Michigan State,7,72,USC,10,62
2023,64,Marquette,2,78,Vermont,15,61
2023,32,Florida Atlantic,9,78,Fairleigh Dickinson,16,70
2023,32,Tennessee,4,65,Duke,5,52
2023,32,Kansas State,3,75,Kentucky,6,69
2023,32,Michigan State,7,69,Marquette,2,60
2023,16,Florida Atlantic,9,62,Tennessee,4,55
2023,16,Kansas State,3,98,Michigan State,7,93
2023,8,Florida Atlantic,9,79,Kansas State,3,76
2023,64,Houston,1,63,Northern Kentucky,16,52
2023,64,Auburn,9,83,Iowa,8,75
2023,64,Miami (FL),5,63,Drake,12,56
2023,64,Indiana,4,71,Kent State,13,60
2023,64,Pittsburgh,11,59,Iowa State,6,41
2023,64,Xavier,3,72,Kennesaw State,14,67
2023,64,Penn State,10,76,Texas A&M,7,59
2023,64,Texas,2,81,Colgate,15,61
2023,32,Houston,1,81,Auburn,9,64
2023,32,Miami (FL),5,85,Indiana,4,69
2023,32,Xavier,3,84,Pittsburgh,11,73
2023,32,Texas,2,71,Penn State,10,66
2023,16,Miami (FL),5,89,Houston,1,75
2023,16,Texas,2,83,Xavier,3,71
2023,8,Miami (FL),5,88,Texas,2,81
2023,64,Kansas,1,96,Howard,16,68
2023,64,Arkansas,8,73,Illinois,9,63
2023,64,Saint Mary's,5,63,VCU,12,51
2023,64,UConn,4,87,Iona,13,63
2023,64,TCU,6,72,Arizona State,11,70
2023,64,Gonzaga,3,82,Grand Canyon,14,70
2023,64,Northwestern,7,75,Boise State,10,67
2023,64,UCLA,2,86,UNC Asheville,15,53
2023,32,Arkansas,8,72,Kansas,1,71
2023,32,UConn,4,70,Saint Mary's,5,55
2023,32,Gonzaga,3,84,TCU,6,81
2023,32,UCLA,2,68,Northwestern,7,63
2023,16,UConn ,4,88,Arkansas,8,65
2023,16,Gonzaga,3,79,UCLA,2,76
2023,8,UConn,4,82,Gonzaga,3,54
2023,4,San Diego State,5,72,Florida Atlantic,9,71
2023,4,UConn,4,72,Miami (FL),5,59
2023,2,UConn,4,76,San Diego State,5,59
