year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2016,64,Kansas,1,105,Austin Peay,16,79
2016,64,UConn,9,74,Colorado,8,67
2016,64,Maryland,5,79,South Dakota State,12,74
2016,64,Hawaii,13,77,California,4,66
2016,64,Wichita State,11,65,Arizona,6,55
2016,64,Miami (FL),3,79,Buffalo,14,72
2016,64,Iowa,7,72,Temple,10,70
2016,64,Villanova,2,86,UNC Asheville,15,56
2016,32,Kansas,1,73,UConn,9,61
2016,32,Maryland,5,73,Hawaii,13,60
2016,32,Miami (FL),3,65,Wichita State,11,57
2016,32,Villanova,2,87,Iowa,7,68
2016,16,Kansas,1,79,Maryland,5,63
2016,16,Villanova,2,92,Miami (FL),3,69
2016,8,Villanova,2,64,Kansas,1,59
2016,64,Oregon,1,91,Holy Cross,16,52
2016,64,Saint Joseph's,8,78,Cincinnati,9,76
2016,64,Yale,12,79,Baylor,5,75
2016,64,Duke,4,93,UNC Wilmington,13,85
2016,64,Northern Iowa,11,75,Texas,6,72
2016,64,Texas A&M,3,92,Green Bay,14,65
2016,64,VCU,10,75,Oregon State,7,67
2016,64,Oklahoma,2,82,Cal State Bakersfield,15,68
2016,32,Oregon,1,69,Saint Joseph's,8,64
2016,32,Duke,4,71,Yale,12,64
2016,32,Texas A&M,3,92,Northern Iowa,11,88
2016,32,Oklahoma,2,85,VCU,10,81
2016,16,Oregon,1,82,Duke,4,68
2016,16,Oklahoma,2,77,Texas A&M,3,63
2016,8,Oklahoma,2,80,Oregon,1,68
2016,64,North Carolina,1,83,Florida Gulf Coast,16,67
2016,64,Providence,9,70,USC,8,69
2016,64,Indiana,5,99,Chattanooga,12,74
2016,64,Kentucky,4,85,Stony Brook,13,57
2016,64,Notre Dame,6,70,Michigan,11,63
2016,64,Stephen F. Austin,14,70,West Virginia,3,56
2016,64,Wisconsin,7,47,Pittsburgh,10,43
2016,64,Xavier,2,71,Weber State,15,53
2016,32,North Carolina,1,85,Providence,9,66
2016,32,Indiana,5,73,Kentucky,4,67
2016,32,Notre Dame,6,76,Stephen F. Austin,14,75
2016,32,Wisconsin,7,66,Xavier,2,63
2016,16,North Carolina,1,101,Indiana,5,86
2016,16,Notre Dame,6,61,Wisconsin,7,56
2016,8,North Carolina,1,88,Notre Dame,6,74
2016,64,Virginia,1,81,Hampton,16,45
2016,64,Butler,9,71,Texas Tech,8,61
2016,64,Little Rock,12,85,Purdue,5,83
2016,64,Iowa State,4,94,Iona,13,81
2016,64,Gonzaga,11,68,Seton Hall,6,52
2016,64,Utah,3,80,Fresno State,14,69
2016,64,Syracuse,10,70,Dayton,7,51
2016,64,Middle Tennessee,15,90,Michigan State,2,81
2016,32,Virginia,1,77,Butler,9,69
2016,32,Iowa State,4,78,Little Rock,12,61
2016,32,Gonzaga,11,82,Utah,3,59
2016,32,Syracuse,10,75,Middle Tennessee,15,50
2016,16,Virginia,1,84,Iowa State,4,71
2016,16,Syracuse,10,63,Gonzaga,11,60
2016,8,Syracuse,10,68,Virginia,1,62
2016,4,Villanova,2,95,Oklahoma,2,51
2016,4,North Carolina,1,83,Syracuse,10,66
2016,2,Villanova,2,77,North Carolina,1,74
