year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2015,64,Kentucky,1,79,Hampton,16,56
2015,64,Cincinnati,8,66,Purdue,9,65
2015,64,West Virginia,5,68,Buffalo,12,62
2015,64,Maryland,4,65,Valparaiso,13,62
2015,64,Butler,6,56,Texas,11,48
2015,64,Notre Dame,3,69,Northeastern,14,65
2015,64,Wichita State,7,81,Indiana,10,76
2015,64,Kansas,2,75,New Mexico State,15,56
2015,32,Kentucky,1,64,Cincinnati,8,51
2015,32,West Virginia,5,69,Maryland,4,59
2015,32,Notre Dame,3,67,Butler,6,64
2015,32,Wichita State,7,78,Kansas,2,65
2015,16,Kentucky,1,78,West Virginia,5,39
2015,16,Notre Dame,3,81,Wichita State,7,70
2015,8,Kentucky,1,68,Notre Dame,3,66
2015,64,Wisconsin,1,86,Coastal Carolina,16,72
2015,64,Oregon,8,79,Oklahoma State,9,73
2015,64,Arkansas,5,56,Wofford,12,53
2015,64,North Carolina,4,67,Harvard,13,65
2015,64,Xavier,6,76,Ole Miss,11,57
2015,64,Georgia State,14,57,Baylor,3,56
2015,64,Ohio State,10,75,Virginia Commonwealth,7,72
2015,64,Arizona,2,93,Texas Southern,15,72
2015,32,Wisconsin,1,72,Oregon,8,65
2015,32,North Carolina,4,87,Arkansas,5,78
2015,32,Xavier,6,75,Georgia State,14,67
2015,32,Arizona,2,73,Ohio State,10,58
2015,16,Wisconsin,1,79,North Carolina,4,72
2015,16,Arizona,2,68,Xavier,6,60
2015,8,Wisconsin,1,85,Arizona,2,78
2015,64,Villanova,1,93,Lafayette,16,52
2015,64,NC State,8,66,LSU,9,65
2015,64,Northern Iowa,5,71,Wyoming,12,54
2015,64,Louisville,4,57,California-Irvine,13,55
2015,64,Dayton,11,66,Providence,6,53
2015,64,Oklahoma,3,69,Albany,14,60
2015,64,Michigan State,7,70,Georgia,10,63
2015,64,Virginia,2,79,Belmont,15,67
2015,32,NC State,8,71,Villanova,1,68
2015,32,Louisville,4,66,Northern Iowa,5,53
2015,32,Oklahoma,3,72,Dayton,11,66
2015,32,Michigan State,7,60,Virginia,2,54
2015,16,Louisville,4,75,NC State,8,65
2015,16,Michigan State,7,62,Oklahoma,3,58
2015,8,Michigan State,7,76,Louisville,4,70
2015,64,Duke,1,85,Robert Morris,16,56
2015,64,San Diego State,8,76,St. John's,9,64
2015,64,Utah,5,57,Stephen F. Austin,12,50
2015,64,Georgetown,4,84,Eastern Washington,13,74
2015,64,UCLA,11,60,SMU,6,59
2015,64,UAB,14,60,Iowa State,3,59
2015,64,Iowa,7,83,Davidson,10,52
2015,64,Gonzaga,2,86,North Dakota State,15,76
2015,32,Duke,1,68,San Diego State,8,49
2015,32,Utah,5,75,Georgetown,4,64
2015,32,UCLA,11,92,UAB,14,75
2015,32,Gonzaga,2,87,Iowa,7,68
2015,16,Duke,1,63,Utah,5,57
2015,16,Gonzaga,2,74,UCLA,11,62
2015,8,Duke,1,66,Gonzaga,2,52
2015,4,Wisconsin,1,71,Kentucky,1,64
2015,4,Duke,1,81,Michigan State,7,61
2015,2,Duke,1,68,Wisconsin,1,63
