year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2021,64,Gonzaga,1,98,Norfolk State,16,55
2021,64,Oklahoma,8,72,Missouri,9,68
2021,64,Creighton,5,63,UC Santa Barbara,12,62
2021,64,Ohio,13,62,Virginia,4,58
2021,64,USC,6,72,Drake,11,56
2021,64,Kansas,3,93,Eastern Washington,14,84
2021,64,Oregon,7,1,VCU,10,0
2021,64,Iowa,2,86,Grand Canyon,15,74
2021,32,Gonzaga,1,87,Oklahoma,8,71
2021,32,Creighton,5,72,Ohio,13,58
2021,32,USC,6,85,Kansas,3,51
2021,32,Oregon,7,95,Iowa,2,80
2021,16,Gonzaga,1,83,Creighton,5,65
2021,16,USC,6,82,Oregon,7,68
2021,8,Gonzaga,1,85,USC,6,66
2021,64,Michigan,1,82,Texas Southern,16,66
2021,64,LSU,8,76,St. Bonaventure,9,61
2021,64,Colorado,5,96,Georgetown,12,73
2021,64,Florida State,4,64,UNC Greensboro,13,54
2021,64,UCLA,11,73,BYU,6,62
2021,64,Abilene Christian,14,53,Texas,3,52
2021,64,Maryland,10,63,UConn,7,54
2021,64,Alabama,2,68,Iona,15,55
2021,32,Michigan,1,86,LSU,8,78
2021,32,Florida State,4,71,Colorado,5,53
2021,32,UCLA,11,67,Abilene Christian,14,47
2021,32,Alabama,2,96,Maryland,10,77
2021,16,Michigan,1,76,Florida State,4,58
2021,16,UCLA,11,88,Alabama,2,78
2021,8,UCLA,11,51,Michigan,1,49
2021,64,Baylor,1,79,Hartford,16,55
2021,64,Wisconsin,9,85,North Carolina,8,62
2021,64,Villanova,5,73,Winthrop,12,63
2021,64,North Texas,13,78,Purdue,4,69
2021,64,Texas Tech,6,65,Utah State,11,53
2021,64,Arkansas,3,85,Colgate,14,68
2021,64,Florida,7,75,Virginia Tech,10,70
2021,64,Oral Roberts,15,75,Ohio State,2,72
2021,32,Baylor,1,76,Wisconsin,9,63
2021,32,Villanova,5,84,North Texas,13,61
2021,32,Arkansas,3,68,Texas Tech,6,66
2021,32,Oral Roberts,15,81,Florida,7,78
2021,16,Baylor,1,62,Villanova,5,51
2021,16,Arkansas,3,72,Oral Roberts,15,70
2021,8,Baylor,1,81,Arkansas,3,72
2021,64,Illinois,1,78,Drexel,16,49
2021,64,Loyola Chicago,8,71,Georgia Tech,9,60
2021,64,Oregon State,12,70,Tennessee,5,56
2021,64,Oklahoma State,4,69,Liberty,13,60
2021,64,Syracuse,11,78,San Diego State,6,62
2021,64,West Virginia,3,84,Morehead State,14,67
2021,64,Rutgers,10,60,Clemson,7,56
2021,64,Houston,2,87,Cleveland State,15,56
2021,32,Loyola Chicago,8,71,Illinois,1,58
2021,32,Oregon State,12,80,Oklahoma State,4,70
2021,32,Syracuse,11,75,West Virginia,3,72
2021,32,Houston,2,63,Rutgers,10,60
2021,16,Oregon State,12,65,Loyola Chicago,8,58
2021,16,Houston,2,62,Syracuse,11,46
2021,8,Houston,2,67,Oregon State,12,61
2021,4,Gonzaga,1,93,UCLA,11,90
2021,4,Baylor,1,78,Houston,2,59
2021,2,Baylor,1,86,Gonzaga,1,70
