year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2019,64,Duke,1,85,North Dakota State,16,62
2019,64,UCF,9,73,VCU,8,58
2019,64,Liberty,12,80,Mississippi State,5,76
2019,64,Virginia Tech,4,66,Saint Louis,13,52
2019,64,Maryland,6,79,Belmont,11,77
2019,64,LSU,3,79,Yale,14,74
2019,64,Minnesota,10,86,Louisville,7,76
2019,64,Michigan State,2,76,Bradley,15,65
2019,32,Duke,1,77,UCF,9,76
2019,32,Virginia Tech,4,67,Liberty,12,58
2019,32,LSU,3,69,Maryland,6,67
2019,32,Michigan State,2,70,Minnesota,10,50
2019,16,Duke,1,75,Virginia Tech,4,73
2019,16,Michigan State,2,80,LSU,3,63
2019,8,Michigan State,2,68,Duke,1,67
2019,64,Gonzaga,1,87,Fairleigh Dickinson,16,49
2019,64,Baylor,9,78,Syracuse,8,69
2019,64,Murray State,12,83,Marquette,5,64
2019,64,Florida State,4,76,Vermont,13,69
2019,64,Buffalo,6,91,Arizona State,11,74
2019,64,Texas Tech,3,72,Northern Kentucky,14,57
2019,64,Florida,10,70,Nevada,7,61
2019,64,Michigan,2,74,Montana,15,55
2019,32,Gonzaga,1,83,Baylor,9,71
2019,32,Florida State,4,90,Murray State,12,62
2019,32,Texas Tech,3,78,Buffalo,6,58
2019,32,Michigan,2,64,Florida,10,49
2019,16,Gonzaga,1,72,Florida State,4,58
2019,16,Texas Tech,3,63,Michigan,2,44
2019,8,Texas Tech,3,75,Gonzaga,1,69
2019,64,Virginia,1,71,Gardner–Webb,16,56
2019,64,Oklahoma,9,95,Ole Miss,8,72
2019,64,Oregon,12,72,Wisconsin,5,54
2019,64,UC Irvine,13,70,Kansas State,4,64
2019,64,Villanova,6,61,Saint Mary's,11,57
2019,64,Purdue,3,61,Old Dominion,14,48
2019,64,Iowa,10,79,Cincinnati,7,72
2019,64,Tennessee,2,77,Colgate,15,70
2019,32,Virginia,1,63,Oklahoma,9,51
2019,32,Oregon,12,73,UC Irvine,13,54
2019,32,Purdue,3,87,Villanova,6,61
2019,32,Tennessee,2,83,Iowa,10,77
2019,16,Virginia,1,53,Oregon,12,49
2019,16,Purdue,3,99,Tennessee,2,94
2019,8,Virginia,1,80,Purdue,3,75
2019,64,North Carolina,1,88,Iona,16,73
2019,64,Washington,9,78,Utah State,8,61
2019,64,Auburn,5,78,New Mexico State,12,77
2019,64,Kansas,4,87,Northeastern,13,53
2019,64,Ohio State,11,62,Iowa State,6,59
2019,64,Houston,3,84,Georgia State,14,55
2019,64,Wofford,7,84,Seton Hall,10,68
2019,64,Kentucky,2,79,Abilene Christian,15,44
2019,32,North Carolina,1,81,Washington,9,59
2019,32,Auburn,5,89,Kansas,4,75
2019,32,Houston,3,74,Ohio State,11,59
2019,32,Kentucky,2,62,Wofford,7,56
2019,16,Auburn,5,97,North Carolina,1,80
2019,16,Kentucky,2,62,Houston,3,58
2019,8,Auburn,5,77,Kentucky,2,71
2019,4,Texas Tech,3,61,Michigan State,2,51
2019,4,Virginia,1,63,Auburn,5,62
2019,2,Virginia,1,85,Texas Tech,3,77
