year,round,game_id,team1,seed1,team2,seed2,winner,score1,score2
2014,elite_8,2014_elite_8_312,Kentucky,8,Michigan,2,Kentucky,75,72
2014,final_four,2014_final_four_313,Kentucky,8,Wisconsin,2,Kentucky,74,73
2014,final_four,2014_final_four_314,UConn,7,Florida,1,UConn,63,53
2014,championship,2014_championship_315,Kentucky,8,UConn,7,UConn,54,60
2015,round_of_64,2015_round_of_64_316,Hampton,16,Kentucky,1,Kentucky,56,79
2015,round_of_64,2015_round_of_64_317,Cincinnati,8,Purdue,9,Cincinnati,66,65
2015,round_of_64,2015_round_of_64_318,Buffalo,12,West Virginia,5,West Virginia,62,68
2015,round_of_64,2015_round_of_64_319,Maryland,4,Valparaiso,13,Maryland,65,62
2015,round_of_64,2015_round_of_64_320,Texas,11,Butler,6,Butler,48,56
2015,round_of_64,2015_round_of_64_321,Northeastern,14,Notre Dame,3,Notre Dame,65,69
2015,round_of_64,2015_round_of_64_322,Indiana,10,Wichita State,7,Wichita State,76,81
2015,round_of_64,2015_round_of_64_323,New Mexico State,15,Kansas,2,Kansas,56,75
2015,round_of_32,2015_round_of_32_324,Cincinnati,8,Kentucky,1,Kentucky,51,64
2015,round_of_32,2015_round_of_32_325,West Virginia,5,Maryland,4,West Virginia,69,59
2015,round_of_32,2015_round_of_32_326,Butler,6,Notre Dame,3,Notre Dame,64,67
2015,round_of_32,2015_round_of_32_327,Wichita State,7,Kansas,2,Wichita State,78,65
2015,sweet_16,2015_sweet_16_328,West Virginia,5,Kentucky,1,Kentucky,39,78
2015,sweet_16,2015_sweet_16_329,Wichita State,7,Notre Dame,3,Notre Dame,70,81
2015,elite_8,2015_elite_8_330,Notre Dame,3,Kentucky,1,Kentucky,66,68
2015,round_of_64,2015_round_of_64_331,Coastal Carolina,16,Wisconsin,1,Wisconsin,72,86
2015,round_of_64,2015_round_of_64_332,Oregon,8,Oklahoma State,9,Oregon,79,73
2015,round_of_64,2015_round_of_64_333,Wofford,12,Arkansas,5,Arkansas,53,56
2015,round_of_64,2015_round_of_64_334,North Carolina,4,Harvard,13,North Carolina,67,65
2015,round_of_64,2015_round_of_64_335,Ole Miss,11,Xavier,6,Xavier,57,76
2015,round_of_64,2015_round_of_64_336,Baylor,3,Georgia State,14,Georgia State,56,57
2015,round_of_64,2015_round_of_64_337,Ohio State,10,Virginia Commonwealth,7,Ohio State,75,72
2015,round_of_64,2015_round_of_64_338,Texas Southern,15,Arizona,2,Arizona,72,93
2015,round_of_32,2015_round_of_32_339,Wisconsin,1,Oregon,8,Wisconsin,72,65
2015,round_of_32,2015_round_of_32_340,North Carolina,4,Arkansas,5,North Carolina,87,78
2015,round_of_32,2015_round_of_32_341,Georgia State,14,Xavier,6,Xavier,67,75
2015,round_of_32,2015_round_of_32_342,Arizona,2,Ohio State,10,Arizona,73,58
2015,sweet_16,2015_sweet_16_343,Wisconsin,1,North Carolina,4,Wisconsin,79,72
2015,sweet_16,2015_sweet_16_344,Arizona,2,Xavier,6,Arizona,68,60
2015,elite_8,2015_elite_8_345,Wisconsin,1,Arizona,2,Wisconsin,85,78
2015,round_of_64,2015_round_of_64_346,Lafayette,16,Villanova,1,Villanova,52,93
2015,round_of_64,2015_round_of_64_347,LSU,9,NC State,8,NC State,65,66
2015,round_of_64,2015_round_of_64_348,Northern Iowa,5,Wyoming,12,Northern Iowa,71,54
2015,round_of_64,2015_round_of_64_349,California-Irvine,13,Louisville,4,Louisville,55,57
2015,round_of_64,2015_round_of_64_350,Dayton,11,Providence,6,Dayton,66,53
2015,round_of_64,2015_round_of_64_351,Albany,14,Oklahoma,3,Oklahoma,60,69
2015,round_of_64,2015_round_of_64_352,Georgia,10,Michigan State,7,Michigan State,63,70
2015,round_of_64,2015_round_of_64_353,Belmont,15,Virginia,2,Virginia,67,79
2015,round_of_32,2015_round_of_32_354,NC State,8,Villanova,1,NC State,71,68
2015,round_of_32,2015_round_of_32_355,Northern Iowa,5,Louisville,4,Louisville,53,66
2015,round_of_32,2015_round_of_32_356,Oklahoma,3,Dayton,11,Oklahoma,72,66
2015,round_of_32,2015_round_of_32_357,Virginia,2,Michigan State,7,Michigan State,54,60
2015,sweet_16,2015_sweet_16_358,Louisville,4,NC State,8,Louisville,75,65
2015,sweet_16,2015_sweet_16_359,Michigan State,7,Oklahoma,3,Michigan State,62,58
2015,elite_8,2015_elite_8_360,Michigan State,7,Louisville,4,Michigan State,76,70
2015,round_of_64,2015_round_of_64_361,Robert Morris,16,Duke,1,Duke,56,85
2015,round_of_64,2015_round_of_64_362,San Diego State,8,St. John's,9,San Diego State,76,64
2015,round_of_64,2015_round_of_64_363,Stephen F. Austin,12,Utah,5,Utah,50,57
2015,round_of_64,2015_round_of_64_364,Eastern Washington,13,Georgetown,4,Georgetown,74,84
2015,round_of_64,2015_round_of_64_365,UCLA,11,SMU,6,UCLA,60,59
2015,round_of_64,2015_round_of_64_366,Iowa State,3,UAB,14,UAB,59,60
2015,round_of_64,2015_round_of_64_367,Iowa,7,Davidson,10,Iowa,83,52
2015,round_of_64,2015_round_of_64_368,North Dakota State,15,Gonzaga,2,Gonzaga,76,86
2015,round_of_32,2015_round_of_32_369,Duke,1,San Diego State,8,Duke,68,49
2015,round_of_32,2015_round_of_32_370,Georgetown,4,Utah,5,Utah,64,75
2015,round_of_32,2015_round_of_32_371,UAB,14,UCLA,11,UCLA,75,92
2015,round_of_32,2015_round_of_32_372,Iowa,7,Gonzaga,2,Gonzaga,68,87
2015,sweet_16,2015_sweet_16_373,Utah,5,Duke,1,Duke,57,63
2015,sweet_16,2015_sweet_16_374,UCLA,11,Gonzaga,2,Gonzaga,62,74
2015,elite_8,2015_elite_8_375,Duke,1,Gonzaga,2,Duke,66,52
2015,final_four,2015_final_four_376,Wisconsin,1,Kentucky,1,Wisconsin,71,64
2015,final_four,2015_final_four_377,Michigan State,7,Duke,1,Duke,61,81
2015,championship,2015_championship_378,Duke,1,Wisconsin,1,Duke,68,63
2016,round_of_64,2016_round_of_64_379,Kansas,1,Austin Peay,16,Kansas,105,79
2016,round_of_64,2016_round_of_64_380,Colorado,8,UConn,9,UConn,67,74
2016,round_of_64,2016_round_of_64_381,South Dakota State,12,Maryland,5,Maryland,74,79
2016,round_of_64,2016_round_of_64_382,Hawaii,13,California,4,Hawaii,77,66
2016,round_of_64,2016_round_of_64_383,Wichita State,11,Arizona,6,Wichita State,65,55
2016,round_of_64,2016_round_of_64_384,Miami (FL),3,Buffalo,14,Miami (FL),79,72
2016,round_of_64,2016_round_of_64_385,Iowa,7,Temple,10,Iowa,72,70
2016,round_of_64,2016_round_of_64_386,Villanova,2,UNC Asheville,15,Villanova,86,56
2016,round_of_32,2016_round_of_32_387,Kansas,1,UConn,9,Kansas,73,61
