year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2025,64,Auburn,1,83,Alabama State,16,63
2025,64,Creighton,9,89,Louisville,8,75
2025,64,Michigan,5,68,UC San Diego,12,65
2025,64,Texas A&M,4,80,Yale,13,71
2025,64,Ole Miss,6,71,North Carolina,11,64
2025,64,Iowa State,3,82,Lipscomb,14,55
2025,64,New Mexico,10,75,Marquette,7,66
2025,64,Michigan State,2,87,Bryant,15,62
2025,64,Duke,1,93,Mount St. Mary's,16,49
2025,64,Baylor,9,75,Mississippi State,8,72
2025,64,Oregon,5,81,Liberty,12,52
2025,64,Arizona,4,93,Akron,13,65
2025,64,BYU,6,80,VCU,11,71
2025,64,Wisconsin,3,85,Montana,14,66
2025,64,Saint Mary's,7,59,Vanderbilt,10,56
2025,64,Alabama,2,90,Robert Morris,15,81
2025,64,Houston,1,78,SIU Edwardsville,16,40
2025,64,Gonzaga,8,89,Georgia,9,68
2025,64,McNeese,12,69,Clemson,5,67
2025,64,Purdue,4,75,High Point,13,63
2025,64,Illinois,6,86,Xavier,11,73
2025,64,Kentucky,3,76,Troy,14,57
2025,64,UCLA,7,72,Utah State,10,47
2025,64,Tennessee,2,77,Wofford,15,62
2025,64,Florida,1,95,Norfolk State,16,69
2025,64,UConn,8,67,Oklahoma,9,59
2025,64,Colorado State,12,78,Memphis,5,70
2025,64,Maryland,4,81,Grand Canyon,13,49
2025,64,Drake,11,67,Missouri,6,57
2025,64,Texas Tech,3,82,UNC Wilmington,14,72
2025,64,Arkansas,10,79,Kansas,7,72
2025,64,St. John's,2,83,Omaha,15,53
2025,32,Auburn,1,82,Creighton,9,70
2025,32,Michigan,5,91,Texas A&M,4,79
2025,32,Ole Miss,6,91,Iowa State,3,78
2025,32,Michigan State,2,71,New Mexico,10,63
2025,32,Duke,1,89,Baylor,9,66
2025,32,Arizona,4,87,Oregon,5,83
2025,32,BYU,6,91,Wisconsin,3,89
2025,32,Alabama,2,80,Saint Mary's,7,66
2025,32,Houston,1,81,Gonzaga,8,76
2025,32,Purdue,4,76,McNeese,12,62
2025,32,Kentucky,3,84,Illinois,6,75
2025,32,Tennessee,2,67,UCLA,7,58
2025,32,Florida,1,77,UConn,8,75
2025,32,Maryland,4,72,Colorado State,12,71
2025,32,Texas Tech,3,77,Drake,11,64
2025,32,Arkansas,10,75,St. John's,2,66
2025,16,Auburn,1,78,Michigan,5,65
2025,16,Michigan State,2,73,Ole Miss,6,70
2025,16,Duke,1,100,Arizona,4,93
2025,16,Alabama,2,113,BYU,6,88
2025,16,Houston,1,62,Purdue,4,60
2025,16,Tennessee,2,78,Kentucky,3,65
2025,16,Florida,1,87,Maryland,4,71
2025,16,Texas Tech,3,85,Arkansas,10,83
2025,8,Auburn,1,70,Michigan State,2,64
2025,8,Duke,1,85,Alabama,2,65
2025,8,Houston,1,69,Tennessee,2,50
2025,8,Florida,1,84,Texas Tech,3,79
2025,4,Florida,1,79,Auburn,1,73
2025,4,Houston,1,70,Duke,1,67
2025,2,Florida,1,65,Houston,1,63
