year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2011,64,Ohio State,1,75,UTSA,16,46
2011,64,George Mason,8,61,Villanova,9,57
2011,64,West Virginia,5,84,Clemson,12,76
2011,64,Kentucky,4,59,Princeton,13,57
2011,64,Marquette,11,66,Xavier,6,55
2011,64,Syracuse,3,77,Indiana State,14,60
2011,64,Washington,7,68,Georgia,10,65
2011,64,North Carolina,2,102,Long Island,15,87
2011,32,Ohio State,1,98,George Mason,8,66
2011,32,Kentucky,4,71,West Virginia,5,63
2011,32,Marquette,11,66,Syracuse,3,62
2011,32,North Carolina,2,86,Washington,7,83
2011,16,Kentucky,4,62,Ohio State,1,60
2011,16,North Carolina,2,81,Marquette,11,63
2011,8,Kentucky,4,76,North Carolina,2,69
2011,64,Duke,1,87,Hampton,16,45
2011,64,Michigan,8,75,Tennessee,9,45
2011,64,Arizona,5,77,Memphis,12,75
2011,64,Texas,4,85,Oakland,13,81
2011,64,Cincinnati,6,78,Missouri,11,63
2011,64,Connecticut,3,81,Bucknell,14,52
2011,64,Temple,7,66,Penn State,10,64
2011,64,San Diego State,2,68,Northern Colorado,15,50
2011,32,Duke,1,73,Michigan,8,71
2011,32,Arizona,5,70,Texas,4,69
2011,32,Connecticut,3,69,Cincinnati,6,58
2011,32,San Diego State,2,71,Temple,7,64
2011,16,Arizona,5,93,Duke,1,77
2011,16,Connecticut,3,74,San Diego State,2,67
2011,8,Connecticut,3,65,Arizona,5,63
2011,64,Kansas,1,72,Boston University,16,53
2011,64,Illinois,9,73,UNLV,8,62
2011,64,Richmond,12,69,Vanderbilt,5,66
2011,64,Morehead State,13,62,Louisville,4,61
2011,64,VCU,11,74,Georgetown,6,56
2011,64,Purdue,3,65,Saint Peter's,14,43
2011,64,Florida State,10,57,Texas A&M,7,50
2011,64,Notre Dame,2,69,Akron,15,56
2011,32,Kansas,1,73,Illinois,9,59
2011,32,Richmond,12,65,Morehead State,13,48
2011,32,VCU,11,94,Purdue,3,76
2011,32,Florida State,10,71,Notre Dame,2,57
2011,16,Kansas,1,77,Richmond,12,57
2011,16,VCU,11,72,Florida State,10,71
2011,8,VCU,11,71,Kansas,1,61
2011,64,Pittsburgh,1,74,UNC Asheville,16,51
2011,64,Butler,8,60,Old Dominion,9,58
2011,64,Kansas State,5,73,Utah State,12,68
2011,64,Wisconsin,4,72,Belmont,13,58
2011,64,Gonzaga,11,86,St. John's,6,71
2011,64,BYU,3,74,Wofford,14,66
2011,64,UCLA,7,78,Michigan State,10,76
2011,64,Florida,2,79,UC Santa Barbara,15,51
2011,32,Butler,8,71,Pittsburgh,1,70
2011,32,Wisconsin,4,70,Kansas State,5,65
2011,32,BYU,3,89,Gonzaga,11,67
2011,32,Florida,2,73,UCLA,7,65
2011,16,Butler,8,61,Wisconsin,4,54
2011,16,Florida,2,83,BYU,3,74
2011,8,Butler,8,74,Florida,2,71
2011,4,Connecticut,3,56,Kentucky,4,55
2011,4,Butler,8,70,VCU,11,62
2011,2,Connecticut,3,53,Butler,8,41
