year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2013,64,Louisville,1,79,North Carolina A&T,16,48
2013,64,Colorado State,8,84,Missouri,9,72
2013,64,Oregon,12,68,Oklahoma State,5,55
2013,64,Saint Louis,4,64,New Mexico State,13,44
2013,64,Memphis,6,54,Saint Mary's,11,52
2013,64,Michigan State,3,65,Valparaiso,14,54
2013,64,Creighton,7,67,Cincinnati,10,63
2013,64,Duke,2,73,Albany,15,61
2013,32,Louisville,1,82,Colorado State,8,56
2013,32,Oregon,12,74,Saint Louis,4,57
2013,32,Michigan State,3,70,Memphis,6,48
2013,32,Duke,2,66,Creighton,7,50
2013,16,Louisville,1,77,Oregon,12,69
2013,16,Duke,2,71,Michigan State,3,61
2013,8,Louisville,1,85,Duke,2,63
2013,64,Gonzaga,1,64,Southern,16,58
2013,64,Wichita State,9,73,Pittsburgh,8,55
2013,64,Ole Miss,12,57,Wisconsin,5,46
2013,64,La Salle,13,63,Kansas State,4,61
2013,64,Arizona,6,81,Belmont,11,64
2013,64,Harvard,14,68,New Mexico,3,62
2013,64,Iowa State,10,76,Notre Dame,7,58
2013,64,Ohio State,2,95,Iona,15,70
2013,32,Wichita State,9,76,Gonzaga,1,70
2013,32,La Salle,13,76,Ole Miss,12,74
2013,32,Arizona,6,74,Harvard,14,51
2013,32,Ohio State,2,78,Iowa State,10,75
2013,16,Wichita State,9,72,La Salle,13,58
2013,16,Ohio State,2,73,Arizona,6,70
2013,8,Wichita State,9,70,Ohio State,2,66
2013,64,Kansas,1,64,Western Kentucky,16,57
2013,64,North Carolina,8,78,Villanova,9,71
2013,64,VCU,5,88,Akron,12,42
2013,64,Michigan,4,71,South Dakota State,13,56
2013,64,Minnesota,11,83,UCLA,6,63
2013,64,Florida,3,79,Northwestern State,14,47
2013,64,San Diego State,7,70,Oklahoma,10,55
2013,64,Florida Gulf Coast,15,78,Georgetown,2,68
2013,32,Kansas,1,70,North Carolina,8,58
2013,32,Michigan,4,78,VCU,5,53
2013,32,Florida,3,78,Minnesota,11,64
2013,32,Florida Gulf Coast,15,81,San Diego State,7,71
2013,16,Michigan,4,87,Kansas,1,85
2013,16,Florida,3,62,Florida Gulf Coast,15,50
2013,8,Michigan,4,79,Florida,3,59
2013,64,Indiana,1,83,James Madison,16,62
2013,64,Temple,9,76,NC State,8,72
2013,64,California,12,64,UNLV,5,61
2013,64,Syracuse,4,81,Montana,13,34
2013,64,Butler,6,68,Bucknell,11,56
2013,64,Marquette,3,59,Davidson,14,58
2013,64,Illinois,7,57,Colorado,10,49
2013,64,Miami (FL),2,78,Pacific,15,49
2013,32,Indiana,1,58,Temple,9,52
2013,32,Syracuse,4,66,California,12,60
2013,32,Marquette,3,74,Butler,6,72
2013,32,Miami (FL),2,63,Illinois,7,59
2013,16,Syracuse,4,61,Indiana,1,50
2013,16,Marquette,3,71,Miami (FL),2,61
2013,8,Syracuse,4,55,Marquette,3,39
2013,4,Louisville,1,72,Wichita State,9,68
2013,4,Michigan,4,61,Syracuse,4,56
2013,2,Louisville,1,82,Michigan,4,76
