year,round,region,seed_1,team_1,score_1,seed_2,team_2,score_2,winner
2023,R64,Region_2,6,Iowa State,41.0,11,Pitt,59.0,Pitt
2023,R64,Region_2,3,Xavier,72.0,14,Kennesaw State,67.0,Xavier
2023,R64,Region_2,7,Texas A&M,59.0,10,Penn State,76.0,Penn State
2023,R64,Region_2,2,Texas,81.0,15,Colgate,61.0,Texas
2023,R32,Region_2,1,Houston,81.0,9,Auburn,64.0,Houston
2023,R32,Region_2,5,Miami (FL),85.0,4,Indiana,69.0,Miami (FL)
2023,R32,Region_2,11,Pitt,73.0,3,Xavier,84.0,Xavier
2023,R32,Region_2,10,Penn State,66.0,2,Texas,71.0,Texas
2023,S16,Region_2,1,Houston,75.0,5,Miami (FL),89.0,Miami (FL)
2023,S16,Region_2,3,Xavier,71.0,2,Texas,83.0,Texas
2023,E8,Region_2,5,Miami (FL),88.0,2,Texas,81.0,Miami (FL)
2023,R64,Region_3,1,Alabama,96.0,16,Texas A&M-Corpus Christi,75.0,Alabama
2023,R64,Region_3,8,Maryland,67.0,9,West Virginia,65.0,Maryland
2023,R64,Region_3,5,San Diego State,63.0,12,College of Charleston,57.0,San Diego State
2023,R64,Region_3,4,Virginia,67.0,13,Furman,68.0,Furman
2023,R64,Region_3,6,Creighton,72.0,11,NC State,63.0,Creighton
2023,R64,Region_3,3,Baylor,74.0,14,UCSB,56.0,Baylor
2023,R64,Region_3,7,Missouri,76.0,10,Utah State,65.0,Missouri
2023,R64,Region_3,2,Arizona,55.0,15,Princeton,59.0,Princeton
2023,R32,Region_3,1,Alabama,73.0,8,Maryland,51.0,Alabama
2023,R32,Region_3,5,San Diego State,75.0,13,Furman,52.0,San Diego State
2023,R32,Region_3,6,Creighton,85.0,3,Baylor,76.0,Creighton
2023,R32,Region_3,7,Missouri,63.0,15,Princeton,78.0,Princeton
2023,S16,Region_3,1,Alabama,64.0,5,San Diego State,71.0,San Diego State
2023,S16,Region_3,6,Creighton,86.0,15,Princeton,75.0,Creighton
2023,E8,Region_3,5,San Diego State,57.0,6,Creighton,56.0,San Diego State
2023,R64,Region_4,1,Kansas,96.0,16,Howard,68.0,Kansas
2023,R64,Region_4,8,Arkansas,73.0,9,Illinois,63.0,Arkansas
2023,R64,Region_4,5,Saint Mary's,63.0,12,VCU,51.0,Saint Mary's
2023,R64,Region_4,4,UConn,87.0,13,Iona,63.0,UConn
2023,R64,Region_4,6,TCU,72.0,11,Arizona State,70.0,TCU
2023,R64,Region_4,3,Gonzaga,82.0,14,Grand Canyon,70.0,Gonzaga
2023,R64,Region_4,7,Northwestern,75.0,10,Boise State,67.0,Northwestern
2023,R64,Region_4,2,UCLA,86.0,15,UNC Asheville,53.0,UCLA
2023,R32,Region_4,1,Kansas,71.0,8,Arkansas,72.0,Arkansas
2023,R32,Region_4,5,Saint Mary's,55.0,4,UConn,70.0,UConn
2023,R32,Region_4,6,TCU,81.0,3,Gonzaga,84.0,Gonzaga
2023,R32,Region_4,7,Northwestern,63.0,2,UCLA,68.0,UCLA
2023,S16,Region_4,8,Arkansas,65.0,4,UConn,88.0,UConn
2023,S16,Region_4,3,Gonzaga,79.0,2,UCLA,76.0,Gonzaga
2023,E8,Region_4,4,UConn,82.0,3,Gonzaga,54.0,UConn
2023,F4,Final Four,9,Florida Atlantic,71.0,5,San Diego State,72.0,San Diego State
2023,F4,Final Four,5,Miami (FL),59.0,4,UConn,72.0,UConn
2023,Championship,Final Four,5,San Diego State,59.0,4,UConn,76.0,UConn
2024,R64,Region_1,1,UConn,91.0,16,Stetson,52.0,UConn
2024,R64,Region_1,8,Florida Atlantic,65.0,9,Northwestern,77.0,Northwestern
2024,R64,Region_1,5,San Diego State,69.0,12,UAB,65.0,San Diego State
